date,team_1,team_1_score,team_2,team_2_score,stadium_attendance,stadium
Fri Aug 14 2020,Oklahoma City Thunder,103,Los Angeles Clippers,107,,HP Field House
Fri Aug 14 2020,Philadelphia 76ers,134,Houston Rockets,96,,The Arena
Sat Aug 15 2020,Memphis Grizzlies,122,Portland Trail Blazers,126,,HP Field House
Mon Aug 17 2020,Utah Jazz,125,Denver Nuggets,135,,HP Field House
Mon Aug 17 2020,Brooklyn Nets,110,Toronto Raptors,134,,The Arena
Mon Aug 17 2020,Philadelphia 76ers,101,Boston Celtics,109,,HP Field House
Mon Aug 17 2020,Dallas Mavericks,110,Los Angeles Clippers,118,,The Arena
Tue Aug 18 2020,Orlando Magic,122,Milwaukee Bucks,110,,HP Field House
Tue Aug 18 2020,Miami Heat,113,Indiana Pacers,101,,The Arena
Tue Aug 18 2020,Oklahoma City Thunder,108,Houston Rockets,123,,HP Field House
Tue Aug 18 2020,Portland Trail Blazers,100,Los Angeles Lakers,93,,The Arena
Wed Aug 19 2020,Brooklyn Nets,99,Toronto Raptors,104,,HP Field House
Wed Aug 19 2020,Utah Jazz,124,Denver Nuggets,105,,The Arena
Wed Aug 19 2020,Philadelphia 76ers,101,Boston Celtics,128,,HP Field House
Wed Aug 19 2020,Dallas Mavericks,127,Los Angeles Clippers,114,,The Arena
Thu Aug 20 2020,Miami Heat,109,Indiana Pacers,100,,HP Field House
Thu Aug 20 2020,Oklahoma City Thunder,98,Houston Rockets,111,,The Arena
Thu Aug 20 2020,Orlando Magic,96,Milwaukee Bucks,111,,HP Field House
Thu Aug 20 2020,Portland Trail Blazers,88,Los Angeles Lakers,111,,The Arena
Fri Aug 21 2020,Toronto Raptors,117,Brooklyn Nets,92,,HP Field House
Fri Aug 21 2020,Denver Nuggets,87,Utah Jazz,124,,The Arena
Fri Aug 21 2020,Boston Celtics,102,Philadelphia 76ers,94,,HP Field House
Fri Aug 21 2020,Los Angeles Clippers,130,Dallas Mavericks,122,,The Arena
Sat Aug 22 2020,Milwaukee Bucks,121,Orlando Magic,107,,HP Field House
Sat Aug 22 2020,Indiana Pacers,115,Miami Heat,124,,The Arena
Sat Aug 22 2020,Houston Rockets,107,Oklahoma City Thunder,119,,HP Field House
Sat Aug 22 2020,Los Angeles Lakers,116,Portland Trail Blazers,108,,The Arena
Sun Aug 23 2020,Boston Celtics,110,Philadelphia 76ers,106,,HP Field House
Sun Aug 23 2020,Los Angeles Clippers,133,Dallas Mavericks,135,,The Arena
Sun Aug 23 2020,Toronto Raptors,150,Brooklyn Nets,122,,HP Field House
Sun Aug 23 2020,Denver Nuggets,127,Utah Jazz,129,,The Arena
Mon Aug 24 2020,Milwaukee Bucks,121,Orlando Magic,106,,HP Field House
Mon Aug 24 2020,Houston Rockets,114,Oklahoma City Thunder,117,,The Arena
Mon Aug 24 2020,Indiana Pacers,87,Miami Heat,99,,HP Field House
Mon Aug 24 2020,Los Angeles Lakers,135,Portland Trail Blazers,115,,The Arena
Tue Aug 25 2020,Utah Jazz,107,Denver Nuggets,117,,HP Field House
Tue Aug 25 2020,Dallas Mavericks,111,Los Angeles Clippers,154,,The Arena
Sat Aug 29 2020,Orlando Magic,104,Milwaukee Bucks,118,,The Arena
Sat Aug 29 2020,Oklahoma City Thunder,80,Houston Rockets,114,,HP Field House
Sat Aug 29 2020,Portland Trail Blazers,122,Los Angeles Lakers,131,,The Arena
Sun Aug 30 2020,Boston Celtics,112,Toronto Raptors,94,,HP Field House
Sun Aug 30 2020,Los Angeles Clippers,111,Dallas Mavericks,97,,The Arena
Sun Aug 30 2020,Denver Nuggets,119,Utah Jazz,107,,The Arena
Mon Aug 31 2020,Miami Heat,115,Milwaukee Bucks,104,,HP Field House
Mon Aug 31 2020,Houston Rockets,100,Oklahoma City Thunder,104,,The Arena
Tue Sep 1 2020,Boston Celtics,102,Toronto Raptors,99,,HP Field House
Tue Sep 1 2020,Utah Jazz,78,Denver Nuggets,80,,The Arena
Wed Sep 2 2020,Miami Heat,116,Milwaukee Bucks,114,,HP Field House
Wed Sep 2 2020,Oklahoma City Thunder,102,Houston Rockets,104,,The Arena
Thu Sep 3 2020,Toronto Raptors,104,Boston Celtics,103,,HP Field House
Thu Sep 3 2020,Denver Nuggets,97,Los Angeles Clippers,120,,The Arena
Fri Sep 4 2020,Milwaukee Bucks,100,Miami Heat,115,,HP Field House
Fri Sep 4 2020,Houston Rockets,112,Los Angeles Lakers,97,,The Arena
Sat Sep 5 2020,Toronto Raptors,100,Boston Celtics,93,,HP Field House
Sat Sep 5 2020,Denver Nuggets,110,Los Angeles Clippers,101,,The Arena
Sun Sep 6 2020,Milwaukee Bucks,118,Miami Heat,115,,The Arena
Sun Sep 6 2020,Houston Rockets,109,Los Angeles Lakers,117,,The Arena
Mon Sep 7 2020,Boston Celtics,111,Toronto Raptors,89,,HP Field House
Mon Sep 7 2020,Los Angeles Clippers,113,Denver Nuggets,107,,The Arena
Tue Sep 8 2020,Miami Heat,103,Milwaukee Bucks,94,,HP Field House
Tue Sep 8 2020,Los Angeles Lakers,112,Houston Rockets,102,,The Arena
Wed Sep 9 2020,Toronto Raptors,125,Boston Celtics,122,,HP Field House
Wed Sep 9 2020,Los Angeles Clippers,96,Denver Nuggets,85,,The Arena
Thu Sep 10 2020,Los Angeles Lakers,110,Houston Rockets,100,,The Arena
Fri Sep 11 2020,Denver Nuggets,111,Los Angeles Clippers,105,,HP Field House
Fri Sep 11 2020,Boston Celtics,92,Toronto Raptors,87,,The Arena
Sat Sep 12 2020,Houston Rockets,96,Los Angeles Lakers,119,,The Arena
Sun Sep 13 2020,Los Angeles Clippers,98,Denver Nuggets,111,,The Arena
Tue Sep 15 2020,Miami Heat,117,Boston Celtics,114,,HP Field House
Tue Sep 15 2020,Denver Nuggets,104,Los Angeles Clippers,89,,The Arena
Thu Sep 17 2020,Miami Heat,106,Boston Celtics,101,,The Arena
Fri Sep 18 2020,Denver Nuggets,114,Los Angeles Lakers,126,,The Arena
Sat Sep 19 2020,Boston Celtics,117,Miami Heat,106,,The Arena
Sun Sep 20 2020,Denver Nuggets,103,Los Angeles Lakers,105,,The Arena
Tue Sep 22 2020,Los Angeles Lakers,106,Denver Nuggets,114,,The Arena
Wed Sep 23 2020,Boston Celtics,109,Miami Heat,112,,The Arena
Thu Sep 24 2020,Los Angeles Lakers,114,Denver Nuggets,108,,The Arena
Fri Sep 25 2020,Miami Heat,108,Boston Celtics,121,,The Arena
Sat Sep 26 2020,Denver Nuggets,107,Los Angeles Lakers,117,,The Arena
Sun Sep 27 2020,Boston Celtics,113,Miami Heat,125,,The Arena
Wed Sep 30 2020,Miami Heat,98,Los Angeles Lakers,116,,The Arena
Fri Oct 2 2020,Miami Heat,114,Los Angeles Lakers,124,,The Arena
Sun Oct 4 2020,Los Angeles Lakers,104,Miami Heat,115,,The Arena
Tue Oct 6 2020,Los Angeles Lakers,102,Miami Heat,96,,The Arena
Fri Oct 9 2020,Miami Heat,111,Los Angeles Lakers,108,,The Arena
Sun Oct 11 2020,Los Angeles Lakers,106,Miami Heat,93,,The Arena
